date,token,count,orden,word
2023-01-12,shakira,13923,1,shakira
2023-01-12,piqu,5107,2,piqu
2023-01-12,song,2998,3,song
2023-01-12,session,1916,4,session
2023-01-12,love,1434,5,love
2023-01-12,women,1286,6,women
2023-01-12,@shakira,1260,7,@shakira
2023-01-12,listen,823,8,listen
2023-01-12,#shakira,743,9,#shakira
2023-01-12,good,693,10,good
2023-01-12,bizarrap,690,11,bizarrap
2023-01-12,thing,688,12,thing
2023-01-12,bzrp,567,13,bzrp
2023-01-12,music,565,14,music
2023-01-12,queen,557,15,queen
2023-01-12,children,431,16,children
2023-01-12,time,405,17,time
2023-01-12,twingo,389,18,twingo
2023-01-12,throw,384,19,throw
2023-01-12,great,383,20,great
2023-01-13,shakira,7111,1,shakira
2023-01-13,piqu,2977,2,piqu
2023-01-13,song,2199,3,song
2023-01-13,#shakira,632,4,#shakira
2023-01-13,casio,590,5,casio
2023-01-13,session,539,6,session
2023-01-13,thing,493,7,thing
2023-01-13,@shakira,485,8,@shakira
2023-01-13,children,428,9,children
2023-01-13,peopl,401,10,people
2023-01-13,love,397,11,love
2023-01-13,women,393,12,women
2023-01-13,talk,386,13,talk
2023-01-13,listen,355,14,listen
2023-01-13,good,343,15,good
2023-01-13,miley,316,16,miley
2023-01-13,music,304,17,music
2023-01-13,time,302,18,time
2023-01-13,bizarrap,279,19,bizarrap
2023-01-13,day,258,20,day
2023-01-14,shakira,12598,1,shakira
2023-01-14,piqu,5257,2,piqu
2023-01-14,casio,4460,3,casio
2023-01-14,rolex,2911,4,rolex
2023-01-14,follow,2677,5,follow
2023-01-14,watch,2526,6,watch
2023-01-14,song,2512,7,song
2023-01-14,time,2358,8,time
2023-01-14,@casio0ficia,2116,9,@casio0ficia
2023-01-14,cost,2047,10,costs
2023-01-14,particip,2038,11,participate
2023-01-14,raffl,2030,12,raffle
2023-01-14,@c,1932,13,@c
2023-01-14,@casioteam,1451,14,@casioteam
2023-01-14,@shakira,1108,15,@shakira
2023-01-14,children,876,16,children
2023-01-14,session,868,17,session
2023-01-14,music,710,18,music
2023-01-14,reach,703,19,reach
2023-01-14,send,632,20,send
2023-01-15,shakira,10924,1,shakira
2023-01-15,piqu,4783,2,piqu
2023-01-15,song,3044,3,song
2023-01-15,casio,949,4,casio
2023-01-15,#shakira,826,5,#shakira
2023-01-15,love,802,6,love
2023-01-15,miley,688,7,miley
2023-01-15,@shakira,660,8,@shakira
2023-01-15,#missuniverse2022,647,9,#missuniverse2022
2023-01-15,session,617,10,session
2023-01-15,#pique,565,11,#pique
2023-01-15,thing,559,12,thing
2023-01-15,women,548,13,women
2023-01-15,listen,543,14,listen
2023-01-15,good,536,15,good
2023-01-15,univers,490,16,universe
2023-01-15,music,486,17,music
2023-01-15,peopl,481,18,people
2023-01-15,time,467,19,time
2023-01-15,talk,428,20,talk
2023-01-16,shakira,11805,1,shakira
2023-01-16,piqu,6408,2,piqu
2023-01-16,song,3470,3,song
2023-01-16,#shakira,874,4,#shakira
2023-01-16,love,874,5,love
2023-01-16,casio,805,6,casio
2023-01-16,twingo,762,7,twingo
2023-01-16,thing,710,8,thing
2023-01-16,session,701,9,session
2023-01-16,@shakira,695,10,@shakira
2023-01-16,miley,687,11,miley
2023-01-16,listen,619,12,listen
2023-01-16,peopl,586,13,people
2023-01-16,music,549,14,music
2023-01-16,women,546,15,women
2023-01-16,year,544,16,year
2023-01-16,good,539,17,good
2023-01-16,time,537,18,time
2023-01-16,day,511,19,day
2023-01-16,talk,502,20,talk
2023-01-17,shakira,11275,1,shakira
2023-01-17,piqu,5062,2,piqu
2023-01-17,song,3357,3,song
2023-01-17,@shakira,804,4,@shakira
2023-01-17,session,788,5,session
2023-01-17,miley,750,6,miley
2023-01-17,#shakira,716,7,#shakira
2023-01-17,love,706,8,love
2023-01-17,music,690,9,music
2023-01-17,listen,673,10,listen
2023-01-17,gelato,627,11,gelato
2023-01-17,day,570,12,day
2023-01-17,play,526,13,play
2023-01-17,gerard,512,14,gerard
2023-01-17,bizarrap,507,15,bizarrap
2023-01-17,women,505,16,women
2023-01-17,thing,495,17,thing
2023-01-17,time,469,18,time
2023-01-17,good,458,19,good
2023-01-17,casio,457,20,casio
2023-01-18,shakira,10470,1,shakira
2023-01-18,piqu,4411,2,piqu
2023-01-18,song,3026,3,song
2023-01-18,session,861,4,session
2023-01-18,#shakira,766,5,#shakira
2023-01-18,music,765,6,music
2023-01-18,miley,748,7,miley
2023-01-18,@shakira,711,8,@shakira
2023-01-18,gelato,674,9,gelato
2023-01-18,love,635,10,love
2023-01-18,listen,630,11,listen
2023-01-18,bizarrap,559,12,bizarrap
2023-01-18,video,539,13,video
2023-01-18,bzrp,509,14,bzrp
2023-01-18,play,507,15,play
2023-01-18,day,475,16,day
2023-01-18,women,446,17,women
2023-01-18,year,437,18,year
2023-01-18,bag,428,19,bag
2023-01-18,time,426,20,time
2023-01-19,shakira,10451,1,shakira
2023-01-19,piqu,4608,2,piqu
2023-01-19,song,3141,3,song
2023-01-19,session,788,4,session
2023-01-19,music,774,5,music
2023-01-19,#shakira,712,6,#shakira
2023-01-19,@shakira,699,7,@shakira
2023-01-19,play,658,8,play
2023-01-19,miley,589,9,miley
2023-01-19,gelato,587,10,gelato
2023-01-19,bizarrap,568,11,bizarrap
2023-01-19,love,557,12,love
2023-01-19,video,557,13,video
2023-01-19,listen,547,14,listen
2023-01-19,day,493,15,day
2023-01-19,time,458,16,time
2023-01-19,bzrp,445,17,bzrp
2023-01-19,cheat,424,18,cheated
2023-01-19,year,423,19,year
2023-01-19,clara,418,20,clara
2023-01-20,shakira,9510,1,shakira
2023-01-20,piqu,5374,2,piqu
2023-01-20,song,2764,3,song
2023-01-20,gelato,800,4,gelato
2023-01-20,clara,757,5,clara
2023-01-20,session,728,6,session
2023-01-20,music,701,7,music
2023-01-20,@shakira,680,8,@shakira
2023-01-20,play,668,9,play
2023-01-20,love,665,10,love
2023-01-20,#shakira,652,11,#shakira
2023-01-20,miley,607,12,miley
2023-01-20,listen,606,13,listen
2023-01-20,gerard,573,14,gerard
2023-01-20,bizarrap,533,15,bizarrap
2023-01-20,bag,513,16,bag
2023-01-20,day,495,17,day
2023-01-20,year,468,18,year
2023-01-20,time,467,19,time
2023-01-20,video,461,20,video
2023-01-21,shakira,9205,1,shakira
2023-01-21,piqu,4523,2,piqu
2023-01-21,song,2548,3,song
2023-01-21,clara,788,4,clara
2023-01-21,session,773,5,session
2023-01-21,gelato,767,6,gelato
2023-01-21,@shakira,747,7,@shakira
2023-01-21,music,723,8,music
2023-01-21,play,663,9,play
2023-01-21,love,621,10,love
2023-01-21,listen,614,11,listen
2023-01-21,miley,574,12,miley
2023-01-21,#shakira,547,13,#shakira
2023-01-21,time,546,14,time
2023-01-21,year,524,15,year
2023-01-21,gerard,461,16,gerard
2023-01-21,day,455,17,day
2023-01-21,bizarrap,453,18,bizarrap
2023-01-21,bag,453,19,bag
2023-01-21,bzrp,439,20,bzrp
2023-01-22,shakira,7392,1,shakira
2023-01-22,piqu,4238,2,piqu
2023-01-22,song,1884,3,song
2023-01-22,clara,1062,4,clara
2023-01-22,gelato,673,5,gelato
2023-01-22,@shakira,629,6,@shakira
2023-01-22,listen,618,7,listen
2023-01-22,play,529,8,play
2023-01-22,love,526,9,love
2023-01-22,session,504,10,session
2023-01-22,#shakira,487,11,#shakira
2023-01-22,time,486,12,time
2023-01-22,music,482,13,music
2023-01-22,cheat,411,14,cheated
2023-01-22,cha,407,15,cha
2023-01-22,bag,406,16,bag
2023-01-22,year,403,17,year
2023-01-22,chia,403,18,chia
2023-01-22,day,385,19,day
2023-01-22,women,379,20,women
2023-01-23,shakira,9368,1,shakira
2023-01-23,piqu,5374,2,piqu
2023-01-23,song,2157,3,song
2023-01-23,gelato,1053,4,gelato
2023-01-23,clara,867,5,clara
2023-01-23,listen,696,6,listen
2023-01-23,#shakira,641,7,#shakira
2023-01-23,love,620,8,love
2023-01-23,bag,619,9,bag
2023-01-23,music,600,10,music
2023-01-23,@shakira,596,11,@shakira
2023-01-23,session,585,12,session
2023-01-23,year,565,13,year
2023-01-23,gerard,537,14,gerard
2023-01-23,day,523,15,day
2023-01-23,women,518,16,women
2023-01-23,time,498,17,time
2023-01-23,play,485,18,play
2023-01-23,good,454,19,good
2023-01-23,miley,441,20,miley
2023-01-24,shakira,8008,1,shakira
2023-01-24,piqu,4853,2,piqu
2023-01-24,song,2057,3,song
2023-01-24,gelato,960,4,gelato
2023-01-24,video,723,5,video
2023-01-24,@shakira,713,6,@shakira
2023-01-24,music,679,7,music
2023-01-24,session,679,8,session
2023-01-24,listen,630,9,listen
2023-01-24,#shakira,616,10,#shakira
2023-01-24,gerard,612,11,gerard
2023-01-24,bag,610,12,bag
2023-01-24,year,590,13,year
2023-01-24,mother,578,14,mother
2023-01-24,love,542,15,love
2023-01-24,day,513,16,day
2023-01-24,clara,476,17,clara
2023-01-24,play,448,18,play
2023-01-24,miley,446,19,miley
2023-01-24,time,434,20,time
2023-01-25,piqu,3709,1,piqu
2023-01-25,shakira,3428,2,shakira
2023-01-25,photo,1052,3,photo
2023-01-25,song,807,4,song
2023-01-25,clara,727,5,clara
2023-01-25,gelato,439,6,gelato
2023-01-25,gerard,410,7,gerard
2023-01-25,upload,379,8,uploaded
2023-01-25,cha,347,9,cha
2023-01-25,love,277,10,love
2023-01-25,#shakira,274,11,#shakira
2023-01-25,@shakira,271,12,@shakira
2023-01-25,post,269,13,post
2023-01-25,mother,268,14,mother
2023-01-25,bag,268,15,bag
2023-01-25,session,263,16,session
2023-01-25,instagram,263,17,instagram
2023-01-25,year,251,18,year
2023-01-25,video,246,19,video
2023-01-25,time,239,20,time
2023-01-26,piqu,10429,1,piqu
2023-01-26,shakira,9354,2,shakira
2023-01-26,photo,3526,3,photo
2023-01-26,clara,2516,4,clara
2023-01-26,song,1466,5,song
2023-01-26,gerard,1196,6,gerard
2023-01-26,cha,1048,7,cha
2023-01-26,upload,1041,8,uploaded
2023-01-26,instagram,770,9,instagram
2023-01-26,peopl,756,10,people
2023-01-26,chia,753,11,chia
2023-01-26,love,745,12,love
2023-01-26,comment,701,13,comment
2023-01-26,today,672,14,today
2023-01-26,#shakira,652,15,#shakira
2023-01-26,post,640,16,post
2023-01-26,time,626,17,time
2023-01-26,thing,591,18,thing
2023-01-26,girlfriend,584,19,girlfriend
2023-01-26,@shakira,567,20,@shakira
2023-01-27,shakira,8418,1,shakira
2023-01-27,piqu,5889,2,piqu
2023-01-27,song,1691,3,song
2023-01-27,gelato,996,4,gelato
2023-01-27,photo,947,5,photo
2023-01-27,clara,941,6,clara
2023-01-27,bag,624,7,bag
2023-01-27,gerard,593,8,gerard
2023-01-27,#shakira,557,9,#shakira
2023-01-27,love,538,10,love
2023-01-27,year,530,11,year
2023-01-27,day,527,12,day
2023-01-27,@shakira,495,13,@shakira
2023-01-27,music,477,14,music
2023-01-27,listen,463,15,listen
2023-01-27,time,461,16,time
2023-01-27,peopl,448,17,people
2023-01-27,lucki,443,18,lucky
2023-01-27,thing,431,19,thing
2023-01-27,session,431,20,session
2023-01-28,shakira,6177,1,shakira
2023-01-28,piqu,4028,2,piqu
2023-01-28,song,1486,3,song
2023-01-28,gelato,884,4,gelato
2023-01-28,bag,583,5,bag
2023-01-28,clara,515,6,clara
2023-01-28,#shakira,489,7,#shakira
2023-01-28,music,482,8,music
2023-01-28,@shakira,481,9,@shakira
2023-01-28,gerard,470,10,gerard
2023-01-28,play,440,11,play
2023-01-28,lucki,415,12,lucky
2023-01-28,love,405,13,love
2023-01-28,year,403,14,year
2023-01-28,listen,393,15,listen
2023-01-28,session,392,16,session
2023-01-28,day,383,17,day
2023-01-28,time,375,18,time
2023-01-28,today,346,19,today
2023-01-28,pike,332,20,pike
2023-01-29,shakira,5055,1,shakira
2023-01-29,piqu,3921,2,piqu
2023-01-29,song,1265,3,song
2023-01-29,gelato,899,4,gelato
2023-01-29,bag,598,5,bag
2023-01-29,boo,572,6,booed
2023-01-29,clara,469,7,clara
2023-01-29,love,408,8,love
2023-01-29,lucki,388,9,lucky
2023-01-29,gerard,386,10,gerard
2023-01-29,play,364,11,play
2023-01-29,@shakira,344,12,@shakira
2023-01-29,listen,340,13,listen
2023-01-29,year,339,14,year
2023-01-29,time,337,15,time
2023-01-29,day,328,16,day
2023-01-29,#shakira,321,17,#shakira
2023-01-29,peopl,316,18,people
2023-01-29,session,311,19,session
2023-01-29,music,308,20,music
2023-01-30,shakira,1175,1,shakira
2023-01-30,piqu,970,2,piqu
2023-01-30,gelato,319,3,gelato
2023-01-30,song,286,4,song
2023-01-30,bag,195,5,bag
2023-01-30,lucki,130,6,lucky
2023-01-30,love,112,7,love
2023-01-30,clara,110,8,clara
2023-01-30,year,109,9,year
2023-01-30,listen,97,10,listen
2023-01-30,day,94,11,day
2023-01-30,pike,91,12,pike
2023-01-30,@shakira,91,13,@shakira
2023-01-30,set,88,14,set
2023-01-30,time,87,15,time
2023-01-30,cute,86,16,cute
2023-01-30,thing,83,17,thing
2023-01-30,play,82,18,play
2023-01-30,music,80,19,music
2023-01-30,session,77,20,session
